Col0,Col1,Col2,Col3,Col4,Col5,Col6
,,,,,,
"BUY
(M)",,,,,,
,,,,,,
,,,,,,
,"목표주가 128,000원 (U)",,,,,
,,,,,,
,,,,,,
,"직전 목표주가 118,000원",,,,,
,,,,,,
,,,,,,
,"현재주가 (10/30) 104,100원",,,,,
,,,,,,
,,,,,,
,상승여력 23%,,,,,
,,,,,,
,,,,,,
,,,,,,
,시가총액,"6,162,343억원",,,,
,총발행주식수,"6,735,612,586주",,,,
,60일 평균 거래대금,"15,838억원",,,,
,60일 평균 거래량,"19,149,261주",,,,
,52주 고/저,"104,100원 / 49,900원",,,,
,외인지분율,52.26%,,,,
,배당수익률,2.72%,,,,
,주요주주,삼성생명보험 외 15 인,,,,
,,,,,,
,주가수익률 (%),1개월,3개월,12개월,,
,절대,24.1,43.4,76.1,,
,상대,4.0,14.2,11.8,,
,절대 (달러환산),22.0,39.0,70.7,,
,,,,,,
