표. 삼성전자 실적 추이 및 전망,Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,(단위: 십억원),Col11,Col12
,,1Q25 2Q25 3Q25F 4Q25F,,,,1Q26F 2Q26F 3Q26F 4Q26F,,,,2024 2025F 2026F,,
"Sales Total
Y/Y
Q/Q
Gross Profit Total
(% of sales)
Operating profit Total
(% of sales)
Y/Y
Q/Q
Net Profit Total
(% of sales)
Y/Y
Q/Q",,"79,141 74,566 86,100 90,644
10.0% 0.7% 8.9% 19.6%
4.4% -5.8% 15.5% 5.3%
28,131 25,497 33,500 35,351
35.5% 34.2% 38.9% 39.0%
6,685 4,676 12,200 13,854
8.4% 6.3% 14.2% 15.3%
1.2% -55.2% 32.8% 113.4%
3.0% -30.1% 160.9% 13.6%
8,028 4,934 12,210 11,339
10.1% 6.6% 14.2% 12.5%
21.3% -48.8% 20.9% 46.2%
6.0% -38.5% 138.6% -7.1%",,,,"100,262 97,099 105,857 100,668
26.7% 30.2% 22.9% 11.1%
10.6% -3.2% 9.0% -4.9%
39,102 37,869 41,814 39,260
39.0% 39.0% 39.5% 39.0%
15,887 16,292 17,866 18,194
15.8% 16.8% 16.9% 18.1%
137.6% 248.4% 46.4% 31.3%
14.7% 2.5% 9.7% 1.8%
12,907 13,254 14,480 14,828
12.9% 13.7% 13.7% 14.7%
57.0% 159.1% 18.6% 30.8%
13.8% 2.7% 9.2% 2.4%",,,,"300,871 330,451 403,886
16.2% 9.8% 22.2%
- - -
114,309 122,478 158,045
38.0% 37.1% 39.1%
32,726 37,415 68,239
10.9% 11.3% 16.9%
398.3% 14.3% 82.4%
- - -
33,621 35,672 53,492
11.2% 10.8% 13.2%
132.3% 6.1% 50.0%
- - -",,
"Semi Sales
Y/Y
Q/Q
OP
OPM%
Y/Y
Q/Q",,"26,055 28,789 33,832 38,139
11% -1% 14.8% 23.1%
-16% 10% 18.4% 12.7%
1,082 384 6,998 10,118
4.2% 1.3% 20.7% 26.5%
-44.4% -94.0% 84.2% 237.5%
-63.9% -64.5% 1720.3% 44.6%",,,,"39,634 42,085 43,346 45,307
52.1% 47.2% 28.1% 18.8%
3.9% 6.2% 3.0% 4.5%
11,218 12,481 13,280 14,514
28.3% 29.7% 30.6% 32.0%
936.3% 3146.7% 89.8% 43.4%
10.9% 11.3% 6.4% 9.3%",,,,"112,842 126,610 170,371
71.1% 12.2% 34.6%
- - -
15,155 18,583 51,494
13.4% 14.7% 30.2%
-204.0% 22.6% 177.1%
- - -",,
"DRAM Sales
Y/Y
Q/Q",,"13,282 14,395 18,655 22,215
27% 7% 32% 41%
-16% 8% 31% 19%",,,,"23,132 24,660 26,533 28,745
74% 73% 42% 29%
4% 7% 8% 8%",,,,"53,789 68,413 103,069
101.7% 27.2% 50.7%
- - -",,
Bit shipments,Q/Q,2.0%,11.0%,14.0%,2.0%,-5.0%,3.0%,6.0%,7.0%,-,-,-
ASP,Q/Q,-20.0%,2.0%,14.0%,16.0%,10.0%,5.0%,3.0%,2.0%,-,-,-
"OP
OPM%
Y/Y
Q/Q
NAND Sales
Y/Y
Q/Q",,"3,666 3,494 6,905 9,489
27.6% 24.5% 37.0% 42.7%
90.1% -21.3% 90% 100%
-22.6% -4.7% 98% 37%",,,,"10,311 11,537 12,420 13,793
44.6% 46.8% 46.8% 48.0%
181% 230% 80% 45%
9% 12% 8% 11%",,,,"14,734 23,554 48,061
27.4% 34.4% 46.6%
흑전 59.9% 104.0%
- - -",,
,,"6,772 7,623 8,777 9,461
-7.8% -12.5% 5.5% 16.7%
-16.4% 12.6% 15.1% 7.8%",,,,"9,902 10,055 9,901 9,710
46.2% 31.9% 12.8% 2.6%
4.7% 1.5% -1.5% -1.9%",,,,"32,483 32,632 39,568
93.0% 0.5% 21.3%
- - -",,
Bit shipments,Q/Q,-10.0%,29.0%,10.0%,2.0%,1.0%,2.0%,3.0%,4.0%,-,-,-
ASP,Q/Q,-10.0%,-8.0%,4.0%,5.0%,4.0%,1.0%,-3.0%,-5.0%,-,-,-
"OP
OPM%
Y/Y
Q/Q",,"(3) (229) 637 1,081
-0.1% -3.0% 8.0% 11.4%
적전 적전 -62% 196.5%
적전 적지 흑전 69.8%",,,,"1,368 1,460 1,344 1,201
13.8% 14.5% 13.6% 12.4%
흑전 흑전 111.0% 11.1%
26.5% 6.7% -7.9% -10.6%",,,,"5,221 1,486 5,374
16.1% 4.6% 13.6%
흑전 -71.5% 261.6%
- - -",,
