<표1> 실적 추정,Col1,정 변경사항,Col3,Col4,Col5,Col6,Col7,(십억원),Col9,Col10,Col11,Col12,Col13
,,변경 후,,,,,,변경 전,,,,,
,,1Q25,2Q25,3Q25,4Q25F,2025F,2026F,1Q25,2Q25,3Q25,4Q25F,2025F,2026F
매출액,DS,"25,100","27,900","33,100","36,089","122,189","159,926","25,100","27,900","32,535","35,677","121,212","146,814"
,SDC,"5,926","6,400","8,100","8,712","29,138","31,125","5,926","6,400","8,638","9,077","30,041","32,528"
,MX/NW,"37,000","29,200","34,100","32,094","132,394","123,893","37,000","29,200","33,857","29,556","129,613","121,730"
,VD/가전,"14,500","14,100","13,900","14,456","56,956","58,092","14,500","14,100","13,568","14,336","56,504","57,632"
,합계,"79,141","74,566","86,100","88,862","328,669","360,844","79,141","74,566","86,043","86,098","325,848","347,012"
"영업
이익",DS,"1,100",400,"7,002","9,460","17,962","55,831","1,100",400,"6,470","6,996","14,966","37,551"
,SDC,529,539,"1,205","1,251","3,523","4,424",529,539,"1,434","1,365","3,867","4,580"
,MX/NW,"4,320","3,113","3,595","2,933","13,961","13,247","4,320","3,113","3,560","2,719","13,712","13,031"
,VD/가전,343,210,-104,101,551,901,343,210,134,170,857,"1,553"
,합계,"6,685","4,676","12,200","14,147","37,708","76,296","6,685","4,676","12,115","11,688","35,164","58,657"
세전이익,,"9,152","5,756","13,500","15,257","43,665","82,269","9,152","5,756","12,940","12,745","40,592","63,950"
지배주주 순이익,,"8,028","4,934","12,017","13,795","38,775","73,352","8,028","4,934","11,688","11,383","36,034","56,622"
