Col0,Col1,Col2,2024,1Q25,2Q25,3Q25,4Q25F,2025F,1Q26F,2Q26F,3Q26F,4Q26F,2026F
"산
업
수
요",Note PC 출하량 증가율 (YoY),,3.4%,4.2%,5.1%,6.0%,7.0%,5.6%,3.0%,2.0%,3.0%,4.0%,3.6%
,스마트폰 출하량 증가율 (YoY),,2.4%,2.7%,3.9%,1.0%,1.7%,1.6%,2.8%,1.2%,2.9%,5.1%,3.0%
,Server 출하량 증가율 (YoY),,3.8%,11.1%,6.6%,2.6%,5.2%,6.2%,7.0%,8.5%,10.0%,12.0%,9.4%
"삼
성
전
자",DS,DRAM Bit Growth,15.6%,1.8%,10.4%,15.4%,1.4%,11.1%,-5.4%,6.8%,5.2%,7.9%,15.3%
,,"DRAM ASP 변화 (USD,QoQ)",61.0%,-6.3%,2.2%,15.7%,9.7%,31.5%,11.7%,2.3%,3.2%,0.1%,31.9%
,,NAND Bit Growth,11.8%,-10.2%,28.0%,10.0%,-10.0%,4.3%,-2.0%,8.0%,8.0%,5.0%,12.1%
,,"NAND ASP 변화 (USD,QoQ)",64.0%,-15.0%,-4.0%,5.0%,8.0%,-9.4%,3.0%,-3.0%,5.0%,5.0%,12.3%
,SDC,OLED 매출액,"28,554","5,696","6,109","7,785","8,381","27,971","5,262","6,164","8,900","9,402","29,727"
,MX,스마트폰 출하량 (천대),"223,600","60,800","58,000","61,000","55,000","234,800","62,624","59,740","62,830","56,650","241,844"
,,Tablet PC 출하량 (천대),"28,000","7,000","7,000","7,000","7,100","28,100","7,070","7,070","7,070","7,171","28,381"
,VD,LCD TV 출하량 (천대),"34,864","8,460","8,113","8,251","9,497","34,321","8,629","8,275","8,416","9,687","35,008"
원/달러 환율,,,"1,361.0","1,452.9","1,401.0","1,386.1","1,410.0","1,413.0","1,385.0","1,380.0","1,375.0","1,365.0","1,376.0"
