iter	Passed	Remaining
0	59	71471
1	92	55160
2	123	49181
3	155	46541
4	170	40865
5	190	37901
6	207	35285
7	225	33553
8	245	32535
9	264	31527
10	288	31237
11	314	31146
12	345	31566
13	364	30870
14	380	30076
15	399	29548
16	416	28950
17	438	28765
18	467	29074
19	496	29290
20	520	29223
21	547	29296
22	576	29481
23	600	29417
24	623	29287
25	647	29256
26	668	29055
27	694	29068
28	717	28978
29	741	28904
30	762	28759
31	780	28500
32	796	28168
33	812	27875
34	830	27628
35	848	27423
36	872	27409
37	888	27169
38	910	27100
39	932	27044
40	950	26866
41	967	26674
42	984	26486
43	1000	26278
44	1014	26040
45	1027	25776
46	1046	25661
47	1061	25483
48	1086	25529
49	1103	25385
50	1121	25273
51	1140	25181
52	1158	25066
53	1197	25420
54	1230	25626
55	1254	25621
56	1278	25632
57	1299	25594
58	1344	25992
59	1384	26297
60	1414	26415
61	1433	26303
62	1470	26538
63	1498	26590
64	1517	26494
65	1535	26374
66	1554	26293
67	1576	26248
68	1601	26246
69	1624	26227
70	1649	26221
71	1675	26254
72	1692	26135
73	1716	26126
74	1734	26015
75	1754	25954
76	1773	25861
77	1790	25751
78	1807	25653
79	1823	25526
80	1839	25409
81	1856	25316
82	1875	25238
83	1896	25194
84	1917	25153
85	1938	25114
86	1955	25021
87	1978	25002
88	1998	24952
89	2018	24889
90	2035	24803
91	2052	24717
92	2068	24627
93	2083	24517
94	2097	24398
95	2114	24317
96	2130	24231
97	2149	24175
98	2181	24258
99	2202	24228
100	2225	24212
101	2249	24210
102	2270	24185
103	2287	24110
104	2301	24006
105	2318	23926
106	2334	23849
107	2351	23773
108	2369	23721
109	2386	23652
110	2403	23584
111	2425	23563
112	2445	23523
113	2464	23477
114	2482	23423
115	2504	23407
116	2526	23386
117	2557	23450
118	2577	23410
119	2599	23391
120	2621	23373
121	2638	23311
122	2658	23276
123	2674	23209
124	2691	23145
125	2706	23066
126	2718	22970
127	2732	22882
128	2745	22797
129	2759	22711
130	2772	22625
131	2787	22555
132	2801	22477
133	2814	22390
134	2828	22312
135	2842	22238
136	2857	22172
137	2870	22093
138	2883	22012
139	2895	21925
140	2913	21880
141	2927	21810
142	2941	21745
143	2955	21673
144	2968	21598
145	2981	21526
146	2995	21460
147	3010	21400
148	3024	21332
149	3037	21265
150	3051	21199
151	3064	21131
152	3077	21059
153	3089	20987
154	3103	20921
155	3118	20868
156	3132	20810
157	3154	20803
158	3171	20761
159	3191	20743
160	3208	20704
161	3226	20670
162	3242	20628
163	3258	20586
164	3272	20525
165	3284	20457
166	3297	20395
167	3313	20356
168	3327	20299
169	3340	20240
170	3354	20183
171	3366	20123
172	3380	20068
173	3397	20033
174	3414	19996
175	3430	19960
176	3446	19917
177	3460	19870
178	3472	19809
179	3484	19747
180	3497	19690
181	3511	19639
182	3527	19601
183	3540	19550
184	3554	19499
185	3568	19451
186	3580	19397
187	3594	19351
188	3610	19313
189	3625	19272
190	3647	19267
191	3660	19218
192	3674	19172
193	3689	19131
194	3704	19093
195	3719	19054
196	3736	19024
197	3753	18995
198	3770	18963
199	3786	18933
200	3803	18902
201	3819	18871
202	3836	18841
203	3852	18809
204	3867	18771
205	3883	18737
206	3900	18711
207	3914	18668
208	3928	18625
209	3941	18581
210	3954	18536
211	3969	18498
212	3982	18455
213	3996	18412
214	4010	18373
215	4024	18332
216	4037	18287
217	4050	18247
218	4063	18203
219	4075	18154
220	4089	18115
221	4104	18081
222	4119	18048
223	4139	18035
224	4154	18001
225	4168	17964
226	4186	17945
227	4201	17911
228	4214	17869
229	4228	17831
230	4241	17791
231	4253	17747
232	4264	17700
233	4282	17678
234	4296	17644
235	4313	17619
236	4329	17590
237	4346	17566
238	4361	17538
239	4385	17541
240	4408	17540
241	4428	17529
242	4443	17499
243	4457	17465
244	4475	17445
245	4495	17435
246	4513	17416
247	4527	17379
248	4540	17339
249	4553	17304
250	4567	17267
251	4581	17234
252	4595	17202
253	4608	17164
254	4629	17155
255	4642	17119
256	4654	17076
257	4666	17039
258	4680	17004
259	4696	16980
260	4710	16948
261	4725	16917
262	4738	16882
263	4752	16848
264	4765	16814
265	4781	16787
266	4795	16755
267	4809	16724
268	4822	16689
269	4833	16648
270	4845	16609
271	4856	16570
272	4869	16536
273	4883	16504
274	4898	16475
275	4915	16454
276	4929	16425
277	4943	16395
278	4956	16362
279	4970	16331
280	4983	16298
281	4997	16268
282	5012	16243
283	5026	16212
284	5040	16181
285	5053	16150
286	5070	16130
287	5086	16105
288	5102	16083
289	5125	16083
290	5140	16058
291	5155	16030
292	5170	16006
293	5184	15977
294	5199	15950
295	5215	15927
296	5226	15891
297	5238	15855
298	5251	15823
299	5264	15793
300	5277	15763
301	5291	15732
302	5304	15702
303	5318	15676
304	5332	15647
305	5346	15619
306	5361	15595
307	5374	15563
308	5388	15536
309	5404	15516
310	5419	15491
311	5434	15466
312	5448	15439
313	5463	15415
314	5478	15391
315	5493	15367
316	5513	15359
317	5529	15335
318	5544	15312
319	5558	15286
320	5572	15258
321	5585	15229
322	5599	15203
323	5612	15173
324	5629	15157
325	5648	15143
326	5664	15122
327	5680	15101
328	5696	15080
329	5712	15060
330	5729	15042
331	5746	15025
332	5761	15001
333	5775	14975
334	5790	14951
335	5802	14920
336	5813	14887
337	5825	14856
338	5838	14828
339	5851	14801
340	5865	14775
341	5880	14752
342	5892	14723
343	5906	14698
344	5922	14676
345	5936	14651
346	5949	14625
347	5963	14599
348	5975	14569
349	5988	14543
350	6001	14516
351	6013	14486
352	6024	14455
353	6037	14428
354	6053	14409
355	6068	14386
356	6082	14363
357	6098	14343
358	6115	14325
359	6129	14301
360	6144	14280
361	6160	14261
362	6174	14235
363	6186	14209
364	6199	14183
365	6211	14154
366	6223	14126
367	6237	14102
368	6255	14087
369	6270	14066
370	6285	14045
371	6301	14026
372	6317	14006
373	6337	13997
374	6354	13980
375	6375	13972
376	6390	13951
377	6403	13924
378	6414	13895
379	6429	13874
380	6443	13850
381	6456	13825
382	6470	13802
383	6485	13782
384	6499	13758
385	6511	13732
386	6528	13715
387	6546	13700
388	6565	13688
389	6582	13670
390	6601	13658
391	6615	13635
392	6632	13619
393	6648	13601
394	6661	13575
395	6677	13556
396	6691	13535
397	6705	13512
398	6720	13492
399	6734	13469
400	6748	13445
401	6762	13423
402	6777	13403
403	6788	13375
404	6801	13351
405	6813	13325
406	6827	13302
407	6839	13276
408	6856	13259
409	6873	13244
410	6889	13225
411	6907	13210
412	6922	13190
413	6941	13179
414	6957	13161
415	6974	13143
416	6986	13118
417	6998	13093
418	7011	13069
419	7025	13047
420	7039	13024
421	7052	13001
422	7064	12977
423	7079	12957
424	7100	12947
425	7114	12925
426	7127	12903
427	7143	12884
428	7160	12868
429	7176	12850
430	7191	12830
431	7207	12812
432	7227	12802
433	7244	12786
434	7263	12773
435	7279	12756
436	7294	12735
437	7307	12713
438	7322	12693
439	7336	12671
440	7350	12650
441	7364	12629
442	7380	12612
443	7392	12587
444	7406	12565
445	7420	12545
446	7434	12524
447	7449	12504
448	7463	12482
449	7480	12467
450	7497	12450
451	7513	12433
452	7531	12419
453	7547	12402
454	7565	12387
455	7581	12370
456	7601	12358
457	7615	12337
458	7629	12317
459	7644	12298
460	7660	12279
461	7678	12266
462	7692	12245
463	7706	12224
464	7719	12201
465	7800	12286
466	7831	12292
467	7846	12273
468	7859	12249
469	7872	12227
470	7884	12204
471	7899	12184
472	7913	12163
473	7929	12144
474	7944	12126
475	7960	12107
476	7976	12090
477	7992	12072
478	8007	12052
479	8020	12031
480	8031	12005
481	8044	11982
482	8058	11962
483	8075	11946
484	8101	11942
485	8119	11928
486	8137	11914
487	8155	11899
488	8172	11882
489	8196	11877
490	8214	11861
491	8226	11838
492	8238	11814
493	8250	11791
494	8261	11766
495	8277	11748
496	8290	11727
497	8306	11709
498	8321	11689
499	8337	11672
500	8357	11661
501	8373	11642
502	8388	11623
503	8403	11605
504	8421	11589
505	8435	11569
506	8448	11548
507	8461	11525
508	8475	11505
509	8488	11484
510	8501	11463
511	8515	11442
512	8541	11438
513	8555	11417
514	8568	11396
515	8586	11382
516	8600	11362
517	8625	11356
518	8646	11345
519	8661	11327
520	8678	11310
521	8694	11292
522	8707	11271
523	8723	11254
524	8739	11236
525	8754	11217
526	8769	11199
527	8784	11180
528	8801	11163
529	8815	11143
530	8830	11125
531	8844	11106
532	8857	11084
533	8870	11062
534	8883	11042
535	8895	11019
536	8910	11000
537	8923	10980
538	8937	10960
539	8950	10939
540	8963	10918
541	8977	10899
542	8991	10879
543	9005	10859
544	9016	10836
545	9027	10813
546	9039	10791
547	9052	10770
548	9068	10753
549	9081	10733
550	9097	10715
551	9111	10696
552	9127	10678
553	9140	10658
554	9154	10638
555	9167	10619
556	9182	10599
557	9196	10581
558	9209	10560
559	9221	10539
560	9233	10517
561	9245	10495
562	9258	10475
563	9272	10456
564	9284	10435
565	9298	10415
566	9313	10397
567	9333	10384
568	9349	10368
569	9365	10351
570	9383	10336
571	9401	10321
572	9415	10302
573	9431	10285
574	9448	10270
575	9470	10259
576	9484	10240
577	9499	10222
578	9515	10206
579	9531	10189
580	9548	10173
581	9563	10154
582	9579	10138
583	9595	10121
584	9610	10103
585	9624	10084
586	9636	10063
587	9649	10043
588	9661	10022
589	9674	10002
590	9691	9986
591	9707	9970
592	9724	9954
593	9739	9936
594	9753	9917
595	9767	9898
596	9780	9878
597	9793	9858
598	9805	9837
599	9817	9817
600	9832	9799
601	9846	9781
602	9859	9761
603	9872	9741
604	9886	9723
605	9900	9704
606	9913	9684
607	9926	9665
608	9939	9645
609	9954	9627
610	9969	9610
611	9986	9595
612	10001	9577
613	10015	9558
614	10031	9542
615	10049	9527
616	10068	9513
617	10084	9496
618	10098	9478
619	10111	9459
620	10125	9440
621	10140	9423
622	10153	9404
623	10166	9384
624	10179	9364
625	10191	9344
626	10204	9325
627	10216	9305
628	10229	9286
629	10243	9267
630	10256	9248
631	10270	9230
632	10285	9213
633	10300	9195
634	10313	9176
635	10328	9159
636	10343	9142
637	10357	9123
638	10370	9104
639	10381	9083
640	10393	9063
641	10406	9044
642	10419	9025
643	10434	9008
644	10447	8989
645	10460	8970
646	10474	8952
647	10488	8934
648	10502	8916
649	10516	8898
650	10530	8880
651	10542	8861
652	10563	8848
653	10581	8834
654	10598	8818
655	10616	8804
656	10632	8788
657	10651	8773
658	10669	8759
659	10690	8746
660	10708	8731
661	10725	8716
662	10740	8698
663	10755	8682
664	10767	8662
665	10779	8643
666	10791	8623
667	10804	8605
668	10820	8588
669	10834	8570
670	10848	8552
671	10863	8535
672	10876	8517
673	10890	8498
674	10903	8480
675	10917	8462
676	10931	8444
677	10944	8426
678	10956	8407
679	10970	8388
680	10983	8370
681	10996	8352
682	11013	8336
683	11027	8318
684	11044	8303
685	11058	8285
686	11073	8268
687	11087	8251
688	11100	8232
689	11114	8215
690	11128	8197
691	11141	8178
692	11155	8161
693	11167	8142
694	11182	8125
695	11197	8108
696	11220	8097
697	11239	8083
698	11259	8069
699	11278	8055
700	11300	8044
701	11319	8030
702	11334	8013
703	11347	7994
704	11358	7975
705	11370	7956
706	11382	7936
707	11395	7918
708	11407	7900
709	11420	7882
710	11435	7865
711	11451	7848
712	11466	7831
713	11480	7814
714	11494	7797
715	11509	7779
716	11522	7761
717	11541	7747
718	11554	7729
719	11566	7710
720	11579	7692
721	11594	7676
722	11608	7658
723	11620	7640
724	11633	7622
725	11648	7604
726	11661	7587
727	11676	7570
728	11690	7552
729	11703	7535
730	11717	7517
731	11730	7499
732	11743	7482
733	11756	7463
734	11769	7445
735	11781	7427
736	11799	7412
737	11815	7396
738	11834	7382
739	11853	7368
740	11871	7353
741	11890	7339
742	11906	7323
743	11920	7306
744	11932	7287
745	11943	7268
746	11955	7250
747	11971	7233
748	11984	7216
749	11998	7198
750	12012	7181
751	12031	7167
752	12049	7152
753	12064	7136
754	12081	7120
755	12096	7104
756	12111	7087
757	12126	7070
758	12138	7052
759	12152	7035
760	12169	7020
761	12184	7003
762	12200	6987
763	12216	6971
764	12232	6955
765	12247	6939
766	12265	6924
767	12283	6909
768	12299	6893
769	12316	6878
770	12330	6860
771	12342	6842
772	12357	6826
773	12376	6811
774	12392	6795
775	12411	6781
776	12434	6769
777	12456	6756
778	12475	6742
779	12491	6726
780	12507	6710
781	12524	6694
782	12544	6680
783	12562	6665
784	12581	6651
785	12596	6634
786	12612	6618
787	12629	6603
788	12645	6587
789	12660	6570
790	12677	6555
791	12694	6539
792	12709	6523
793	12724	6506
794	12738	6489
795	12751	6471
796	12767	6455
797	12782	6439
798	12795	6421
799	12808	6404
800	12822	6387
801	12835	6369
802	12850	6353
803	12869	6338
804	12887	6323
805	12905	6308
806	12921	6292
807	12936	6276
808	12949	6258
809	12966	6243
810	12986	6228
811	13001	6212
812	13017	6196
813	13041	6184
814	13055	6167
815	13076	6153
816	13096	6139
817	13114	6124
818	13131	6108
819	13148	6093
820	13162	6076
821	13180	6061
822	13198	6046
823	13215	6030
824	13230	6013
825	13245	5997
826	13264	5982
827	13279	5966
828	13295	5950
829	13312	5934
830	13330	5919
831	13347	5903
832	13363	5887
833	13377	5870
834	13391	5853
835	13407	5837
836	13423	5821
837	13437	5804
838	13456	5790
839	13477	5776
840	13494	5760
841	13514	5745
842	13536	5732
843	13555	5717
844	13571	5701
845	13587	5685
846	13603	5669
847	13616	5652
848	13629	5634
849	13642	5617
850	13656	5600
851	13669	5583
852	13683	5566
853	13698	5549
854	13715	5534
855	13731	5518
856	13752	5504
857	13771	5489
858	13785	5472
859	13800	5455
860	13817	5440
861	13833	5424
862	13846	5407
863	13860	5390
864	13872	5372
865	13887	5356
866	13902	5339
867	13920	5324
868	13936	5308
869	13949	5291
870	13962	5274
871	13974	5256
872	13987	5239
873	14001	5222
874	14018	5206
875	14034	5190
876	14050	5174
877	14069	5159
878	14087	5144
879	14102	5128
880	14118	5112
881	14139	5097
882	14159	5083
883	14178	5068
884	14194	5052
885	14215	5038
886	14245	5026
887	14269	5013
888	14286	4997
889	14303	4982
890	14325	4968
891	14347	4954
892	14366	4939
893	14385	4923
894	14401	4907
895	14438	4898
896	14461	4884
897	14482	4870
898	14501	4855
899	14521	4840
900	14540	4825
901	14566	4812
902	14585	4797
903	14599	4780
904	14614	4763
905	14631	4747
906	14648	4732
907	14663	4715
908	14679	4699
909	14694	4682
910	14709	4666
911	14722	4649
912	14736	4632
913	14751	4615
914	14772	4601
915	14785	4584
916	14799	4567
917	14812	4550
918	14825	4533
919	14839	4516
920	14853	4499
921	14868	4483
922	14885	4467
923	14899	4450
924	14914	4434
925	14928	4417
926	14941	4400
927	14956	4383
928	14972	4367
929	14991	4352
930	15006	4335
931	15022	4319
932	15040	4304
933	15062	4289
934	15083	4274
935	15100	4259
936	15114	4242
937	15127	4225
938	15140	4208
939	15154	4191
940	15169	4175
941	15183	4158
942	15205	4143
943	15232	4130
944	15248	4114
945	15266	4099
946	15286	4083
947	15304	4068
948	15329	4054
949	15346	4038
950	15364	4022
951	15383	4007
952	15400	3991
953	15414	3974
954	15428	3958
955	15444	3941
956	15460	3925
957	15479	3910
958	15493	3893
959	15513	3878
960	15528	3861
961	15542	3845
962	15556	3828
963	15569	3811
964	15586	3795
965	15602	3779
966	15615	3762
967	15629	3745
968	15647	3730
969	15663	3714
970	15679	3697
971	15698	3682
972	15715	3666
973	15729	3649
974	15745	3633
975	15758	3616
976	15772	3600
977	15787	3583
978	15799	3566
979	15812	3549
980	15824	3532
981	15838	3516
982	15855	3500
983	15869	3483
984	15885	3467
985	15899	3450
986	15914	3434
